transaction_id,amount,currency,merchant_category,risk_score,is_fraud
TXN1001,4500,AED,Remittance,87,1
TXN1002,150,AED,Fuel,12,0
TXN1003,12000,SAR,Gold Souq,92,1
TXN1004,300,SAR,Fuel,8,0
TXN1005,7500,AED,Cross-Border,78,1
TXN1006,120,SAR,Food,15,0
TXN1007,5500,AED,Remittance,65,0
TXN1008,1800,SAR,Retail,42,0
TXN1009,15000,SAR,Gold Souq,88,1
TXN1010,9500,AED,Cross-Border,82,1
TXN1011,200,AED,Fuel,10,0
TXN1012,6200,SAR,Remittance,71,1
TXN1013,850,SAR,Retail,22,0
TXN1014,11000,AED,Gold Souq,95,1
TXN1015,3500,AED,Cross-Border,58,0
TXN1016,150,AED,Fuel,5,0
TXN1017,450,SAR,Food,18,0
TXN1018,8900,SAR,Remittance,80,1
TXN1019,2500,AED,Retail,33,0
TXN1020,13500,SAR,Gold Souq,91,1
TXN1021,3000,AED,Remittance,64,0
TXN1022,95,SAR,Fuel,4,0
TXN1023,10500,AED,Cross-Border,85,1
TXN1024,750,SAR,Retail,27,0
TXN1025,16000,SAR,Gold Souq,94,1
TXN1026,2200,AED,Remittance,52,0
TXN1027,110,AED,Fuel,9,0
TXN1028,6800,SAR,Cross-Border,73,0
TXN1029,400,SAR,Food,14,0
TXN1030,12500,AED,Gold Souq,89,1
TXN1031,500,AED,Fuel,11,0
TXN1032,9200,SAR,Remittance,84,1
TXN1033,3100,SAR,Retail,38,0
TXN1034,14000,AED,Gold Souq,93,1
TXN1035,4200,AED,Cross-Border,61,0
TXN1036,80,SAR,Fuel,2,0
TXN1037,600,AED,Food,20,0
TXN1038,7800,SAR,Remittance,76,1
TXN1039,2100,AED,Retail,29,0
TXN1040,11500,SAR,Gold Souq,86,1
TXN1041,1800,SAR,Remittance,48,0
TXN1042,130,AED,Fuel,7,0
TXN1043,9800,AED,Cross-Border,81,1
TXN1044,950,SAR,Retail,31,0
TXN1045,17000,SAR,Gold Souq,96,1
TXN1046,2800,AED,Remittance,55,0
TXN1047,140,AED,Fuel,6,0
TXN1048,7200,SAR,Cross-Border,69,0
TXN1049,350,SAR,Food,12,0
TXN1050,13000,AED,Gold Souq,90,1
